player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Duncan, Tyler",150,-0.017,0.000,34,-0.009,0.000,0.038,0.095,0.090,0.000,-0.076,0.022,-0.054,0.144,2.887,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Montgomery, Taylor",150,0.471,0.000,29,0.015,0.009,-0.015,-0.312,-0.041,-0.000,0.066,-0.057,0.008,0.136,2.852,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Wu, Dylan",150,0.069,0.000,27,0.022,0.080,0.021,-0.064,0.039,0.000,-0.019,-0.014,-0.033,0.134,2.846,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bramlett, Joseph",150,0.044,0.000,35,-0.014,0.030,-0.040,0.055,-0.023,-0.002,0.059,0.010,0.067,0.119,2.808,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Ryder, Sam",150,0.248,0.000,34,-0.007,-0.034,-0.068,-0.059,0.063,0.001,-0.017,-0.015,-0.031,0.112,2.809,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lee, Kyounghoon",150,0.044,0.000,32,0.000,-0.037,0.043,0.001,0.051,-0.000,0.009,-0.014,-0.005,0.096,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Valimaki, Sami",150,-0.005,-0.068,25,0.031,-0.018,0.100,0.093,-0.041,-0.001,-0.008,0.002,-0.006,0.085,2.933,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Gotterup, Chris",150,-0.056,0.000,24,0.035,0.022,-0.037,0.051,-0.041,-0.003,0.078,0.018,0.093,0.066,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Novak, Andrew",150,-0.222,0.000,28,0.016,0.013,0.104,0.068,0.046,-0.000,0.009,-0.002,0.007,0.032,2.859,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kuchar, Matt",150,0.178,0.000,45,-0.057,-0.026,-0.075,0.002,0.048,0.001,-0.024,-0.020,-0.042,0.028,2.841,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bridgeman, Jacob",150,0.025,0.000,24,0.037,0.030,-0.013,-0.014,-0.041,-0.000,0.007,-0.005,0.001,0.026,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Tosti, Alejandro",150,-0.061,0.000,27,0.021,-0.025,-0.027,0.076,-0.041,-0.002,0.052,0.031,0.081,0.024,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hardy, Nick",150,0.040,0.000,28,0.020,0.004,-0.049,0.010,-0.039,-0.001,0.029,0.006,0.034,0.020,2.842,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"NeSmith, Matthew",150,-0.129,0.000,30,0.010,-0.043,-0.000,0.172,0.039,0.001,-0.048,0.017,-0.031,0.017,2.872,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Macintyre, Robert",150,-0.222,-0.070,27,0.022,0.051,0.097,0.141,-0.041,-0.001,0.042,-0.001,0.040,0.016,2.856,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Silverman, Ben",150,-0.070,0.000,36,-0.016,0.023,0.134,-0.012,-0.005,0.001,-0.041,-0.002,-0.042,0.012,2.830,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Suh, Justin",150,-0.016,0.000,26,0.026,0.008,-0.029,0.009,0.009,-0.000,-0.013,0.011,-0.003,0.004,2.870,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Stallings, Scott",150,-0.024,0.000,38,-0.028,-0.040,0.086,-0.070,0.044,-0.000,0.039,-0.005,0.033,0.002,2.872,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Coody, Parker",150,-0.187,0.000,24,0.037,-0.031,0.101,0.026,-0.036,-0.002,0.053,0.018,0.069,-0.020,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bjork, Alexander",150,0.308,-0.058,33,-0.005,0.033,-0.025,-0.105,-0.041,0.003,-0.084,-0.045,-0.126,-0.020,2.833,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Champ, Cameron",150,-0.236,0.000,28,0.017,-0.030,0.105,0.091,-0.041,-0.003,0.016,0.047,0.061,-0.033,2.855,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Shelton, Robby",150,-0.208,0.000,28,0.018,0.029,0.076,0.010,0.039,0.001,-0.006,-0.010,-0.015,-0.051,2.861,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Phillips, Chandler",150,-0.147,0.000,27,0.023,0.002,0.163,-0.065,-0.041,0.000,0.012,-0.005,0.008,-0.057,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
