player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Hoey, Rico",150,-0.646,0.000,28,0.018,-0.019,0.018,0.129,-0.041,-0.002,-0.002,0.083,0.079,-0.460,2.865,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Streelman, Kevin",150,-0.267,0.000,45,-0.055,-0.064,-0.287,0.061,0.118,0.001,-0.014,0.032,0.019,-0.477,2.844,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Dougherty, Kevin",150,-0.677,0.000,32,-0.001,-0.062,0.125,0.045,-0.041,-0.003,0.071,0.061,0.130,-0.481,2.832,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Molinari, Francesco",150,-0.608,0.000,41,-0.038,0.037,0.051,0.074,0.003,0.001,-0.033,0.024,-0.008,-0.488,2.902,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Riley, Davis",150,-0.616,0.000,27,0.024,0.047,-0.073,0.050,0.016,-0.001,0.021,0.033,0.052,-0.499,2.933,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Buckley, Hayden",150,-0.441,0.000,28,0.020,0.058,-0.174,0.009,-0.046,0.000,-0.046,0.042,-0.004,-0.578,2.884,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Moore, Ryan",150,-0.471,0.000,41,-0.038,-0.029,0.012,-0.014,-0.026,0.002,-0.084,0.031,-0.050,-0.615,2.856,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Villegas, Camilo",150,-0.469,0.000,42,-0.042,-0.054,-0.079,-0.126,0.101,0.001,0.038,0.008,0.048,-0.620,2.869,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Xiong, Norman",150,-0.769,0.000,25,0.032,0.013,0.043,-0.010,-0.041,-0.001,0.055,0.038,0.091,-0.640,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Malnati, Peter",150,-0.415,0.000,36,-0.018,-0.085,-0.076,-0.106,0.004,0.001,0.063,-0.012,0.052,-0.643,2.863,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Whitney, Tom",150,-0.718,0.000,34,-0.009,0.000,0.082,-0.001,-0.041,0.000,-0.012,0.050,0.039,-0.648,2.918,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Harrington, Padraig",150,-0.664,0.000,52,-0.087,-0.005,0.019,-0.043,0.085,0.000,0.012,0.034,0.047,-0.648,2.883,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Laird, Martin",150,-0.428,0.000,41,-0.038,-0.015,-0.152,0.039,-0.024,0.001,-0.060,0.027,-0.032,-0.649,2.833,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Dumont de Chassart, Adrien",150,-0.582,0.000,24,0.038,-0.011,-0.184,0.048,-0.041,-0.001,0.013,0.061,0.073,-0.660,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lipsky, David",150,-0.676,0.000,35,-0.013,0.102,-0.066,-0.019,-0.012,0.001,-0.028,0.033,0.007,-0.676,2.868,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Biondi, Fred",150,-0.865,0.000,23,0.041,0.018,0.080,-0.074,-0.041,0.000,0.047,0.038,0.084,-0.756,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Skinns, David",150,-0.743,0.000,42,-0.042,0.019,0.025,-0.092,-0.036,-0.000,0.059,0.021,0.080,-0.789,2.893,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Coody, Pierceson",150,-1.156,0.000,24,0.037,0.017,-0.116,0.030,-0.013,-0.002,0.055,0.066,0.119,-1.082,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Alexander, Tyson",150,-1.215,0.000,35,-0.013,0.044,0.077,-0.056,-0.023,0.000,0.063,0.039,0.103,-1.084,2.894,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Taylor, Ben",150,-1.320,0.000,31,0.004,0.055,0.027,-0.110,0.012,0.000,0.095,0.025,0.120,-1.213,2.873,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Snedeker, Brandt",150,-1.240,0.000,43,-0.046,-0.080,-0.212,-0.027,0.009,0.002,0.007,0.043,0.052,-1.545,2.855,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Johnson, Chase",150,-1.805,0.000,28,0.019,0.013,-0.026,0.042,-0.041,-0.002,0.071,0.088,0.157,-1.642,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Gligic, Michael",150,-1.557,0.000,34,-0.008,-0.007,-0.231,-0.032,-0.031,-0.000,0.083,0.087,0.170,-1.696,2.891,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Brehm, Ryan",150,-1.715,0.000,37,-0.023,0.038,-0.036,-0.242,0.017,-0.001,0.140,0.070,0.209,-1.752,2.962,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Holmes, J.B.",150,-1.686,0.000,41,-0.040,-0.112,-0.123,-0.075,0.055,-0.000,0.094,0.078,0.172,-1.809,2.942,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Crawford, Chris",150,-1.848,0.000,29,0.012,0.000,-0.227,-0.016,-0.041,-0.001,0.071,0.105,0.175,-1.945,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kisner, Kevin",150,-1.482,0.000,40,-0.032,-0.081,-0.448,-0.157,0.010,0.002,0.028,0.048,0.077,-2.112,2.903,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Garrigus, Robert",150,-2.238,0.000,46,-0.060,0.008,-0.236,-0.074,0.031,-0.000,0.079,0.132,0.211,-2.356,2.919,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Overton, Jeff",150,-2.707,0.000,40,-0.036,0.034,-0.498,-0.010,0.171,0.002,0.017,0.135,0.153,-2.893,2.898,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Shattuck, Braden",14,-2.886,0.000,29,0.029,0.007,-0.182,-0.097,-0.041,0.001,0.065,0.141,0.206,-2.963,2.934,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Collet, Tyler",12,-3.644,0.000,28,0.039,0.043,-0.196,-0.224,-0.010,0.002,0.093,0.155,0.249,-3.743,2.936,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
