datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Alexander, Tyson",Tyson Alexander,150,32743639,5600,25.489,12:37 PM,0,44.2,0.8,0,45,-0.17,100,0.888955962,
"Atkins, Matt",Matt Atkins,150,32743662,5100,24.046,8:47 AM,1,41.6,0.6,0,42.3,-0.18,100,0.956090828,
"Baddeley, Aaron",Aaron Baddeley,150,32743590,6600,28.354,12:15 PM,0,52.7,1.8,0,54.6,-0.02,100,1.846036908,
"Barjon, Paul",Paul Barjon,150,32743631,5700,28.422,9:09 AM,1,53,1.8,0,54.8,0.3,100,0.635705401,
"Barnes, Erik",Erik Barnes,150,32743613,6100,28.135,1:43 PM,0,51.7,1.6,0,53.3,0,100,1.606876998,
"Biondi, Fred",Fred Biondi,150,32743627,5800,27.1,8:47 AM,1,48.4,1.3,0,49.7,-0.06,100,1.766800426,
"Bjork, Alexander",Alexander Bjork,150,32743574,7300,28.839,8:58 AM,1,56.4,2.2,0,58.6,0.02,100,2.698758323,
"Bramlett, Joseph",Joseph Bramlett,150,32743584,6800,30.304,1:21 PM,0,61,3.2,0,64.2,0.74,100,8.50994512,
"Brehm, Ryan",Ryan Brehm,150,32743660,5100,22.32,12:48 PM,0,38.2,0.4,0,38.6,-0.28,100,1.023989381,
"Bridgeman, Jacob",Jacob Bridgeman,150,32743591,6600,30.238,8:36 AM,1,59.4,2.8,0,62.2,0.64,100,2.935484804,
"Burgoon, Bronson",Bronson Burgoon,150,32743615,6000,27.715,1:21 PM,0,50,1.5,0,51.4,-0.04,100,3.248268624,
"Campillo, Jorge",Jorge Campillo,150,32743598,6400,27.791,9:20 AM,1,52.1,1.6,0,53.7,-0.02,100,3.276652194,
"Campos, Rafael",Rafael Campos,150,32743604,6300,27.969,1:43 PM,0,52.7,1.7,0,54.4,0.02,100,2.846297636,
"Cazaubon, Rodolfo",Rodolfo Cazaubon,150,32743664,5100,19.608,1:32 PM,0,33.7,0.2,0,33.9,-0.41,100,0,
"Champ, Cameron",Cameron Champ,150,32743557,8600,29.852,8:14 AM,1,59.8,2.9,0,62.7,-0.03,100,9.340426092,
"Chappell, Kevin",Kevin Chappell,150,32743619,6000,27.864,7:30 AM,1,51.5,1.6,0,53,0.01,100,2.395195413,
"Coody, Parker",Parker Coody,150,32743594,6500,29.894,1:43 PM,0,58.1,2.6,0,60.7,0.53,100,9.082789831,
"Coody, Pierceson",Pierceson Coody,150,32743640,5500,26.826,8:47 AM,1,47.9,1.2,0,49.1,-0.05,100,4.779032012,
"Crowe, Trace",Trace Crowe,150,32743630,5700,28.415,1:54 PM,0,53.9,1.9,0,55.7,0.39,100,2.862341758,
"Daffue, MJ",MJ Daffue,150,32743626,5800,29.112,1:21 PM,0,54.3,2,0,56.3,0.4,100,3.027465228,
"Del Solar, Cristobal",Cristobal Del Solar,150,32743600,6400,28.056,8:58 AM,1,51.6,1.6,0,53.2,-0.04,100,1.888206731,
"Detry, Thomas",Thomas Detry,150,32743543,10100,32.049,1:10 PM,0,70,5.2,0,75.2,0.46,100,15.80439923,
"Diaz, Roberto",Roberto Diaz,150,32743651,5300,24.95,1:43 PM,0,44.5,0.9,0,45.4,-0.12,100,0.350691154,
"Dougherty, Kevin",Kevin Dougherty,150,32743641,5500,27.955,2:05 PM,0,52.1,1.7,0,53.8,0.28,100,5.243910929,
"Dumont de Chassart, Adrien",Adrien Dumont De Chassart,150,32743601,6300,28.641,1:54 PM,0,53.6,1.8,0,55.4,0.12,100,3.973476198,
"Duncan, Tyler",Tyler Duncan,150,32743582,6900,30.431,8:36 AM,1,59.7,2.9,0,62.6,0.55,100,3.083550361,
"Echavarria, Nicolas",Nicolas Echavarria,150,32743643,5500,27.41,12:59 PM,0,49.8,1.4,0,51.2,0.04,100,1.606721667,
"Eckroat, Austin",Austin Eckroat,150,32743563,8000,31.046,12:37 PM,0,63.3,3.6,0,66.8,0.51,100,8.52056158,
"Endycott, Harrison",Harrison Endycott,150,32743602,6300,28.516,8:47 AM,1,52.4,1.7,0,54.1,0,100,2.235684826,
"Finau, Tony",Tony Finau,150,32743539,12000,31.336,8:03 AM,1,80.3,8.7,0,89,1,100,28.22458739,
"Fishburn, Patrick",Patrick Fishburn,150,32743623,5900,28.622,2:05 PM,0,54.4,2,0,56.4,0.37,100,1.421818641,
"Fox, Ryan",Ryan Fox,150,32743550,9300,31.359,7:41 AM,1,65.1,3.9,0,69,0.2,100,9.566582993,
"Furr, Wilson",Wilson Furr,150,32743638,5600,28.789,8:58 AM,1,53.2,1.9,0,55.1,0.37,100,1.245799049,
"Ghim, Doug",Doug Ghim,150,32743555,8800,30.947,7:30 AM,1,65.3,3.9,0,69.2,0.42,100,8.760943372,
"Gotterup, Chris",Chris Gotterup,150,32743578,7100,30.642,9:09 AM,1,62,3.3,0,65.3,0.72,100,9.110958582,
"Greyserman, Max",Max Greyserman,150,32743622,5900,29.662,1:32 PM,0,57.5,2.5,0,60,0.71,100,3.956726124,
"Griffin, Lanto",Lanto Griffin,150,32743614,6100,29.414,12:37 PM,0,55.2,2.1,0,57.3,0.37,100,2.254374813,
"Grillo, Emiliano",Emiliano Grillo,150,32743540,11100,31.585,12:48 PM,0,69.3,5,0,74.3,-0.01,100,11.2143238,
