datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Kisner, Kevin",Kevin Kisner,150,32905231,5100,15.598,7:29 AM,1,25.7,0.2,0,25.9,-0.65,100,0.528490696,
"Taylor, Ben",Ben Taylor,150,32905234,5000,19.374,1:13 PM,0,31.8,0.4,0,32.3,-0.36,100,3.36996434,
"Shattuck, Braden",Braden Shattuck,14,32905238,5000,12.422,1:46 PM,0,21.2,0.1,0,21.3,-0.84,100,0,
"Skinns, David",David Skinns,150,32905233,5000,22.122,1:24 PM,0,36.5,0.8,0,37.3,-0.14,100,0.15244174,
"Overton, Jeff",Jeff Overton,150,32914458,5000,13.185,12:07 PM,0,20.3,0.2,0,20.5,-0.87,100,0,
"Brehm, Ryan",Ryan Brehm,150,32905235,5000,17.633,7:51 AM,1,28.7,0.2,0,29,-0.5,100,0.72439109,
"Snedeker, Brandt",Brandt Snedeker,150,32905236,5000,18.044,7:40 AM,1,29.2,0.3,0,29.5,-0.48,100,0.048845428,
"Holmes, J.B.",J.B. Holmes,150,32905237,5000,17.543,7:29 AM,1,28.2,0.3,0,28.5,-0.52,100,0.05728436,
"Collet, Tyler",Tyler Collet,12,32905239,5000,9.6,8:35 AM,1,17.5,0,0,17.5,-1,100,0,
"Meissner, Mac",Mac Meissner,150,32905240,5000,23.641,1:35 PM,0,40,1.2,0,41.2,0.07,100,0.852111961,
