"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*03lmu*","Jon Rahm","null","null","319","u_c","Reserve","0","0","92%","-4%","0","0","0","0","0","0","0","0","0","0"
"*01re1*","Adam Scott","null","null","115","NT 8","Reserve","0","0","90%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*01rq8*","Brendon Todd","null","null","29","txms","Active","0","0","90%","+5.4%","0","0","0","0","0","0","0","0","0","0"
"*041jm*","Matthieu Pavon","null","null","100","MG","Active","0","0","90%","+8.6%","0","0","0","0","0","0","0","0","0","0"
"*0510p*","Austin Eckroat","null","null","12","u_c","Reserve","0","0","90%","+2.5%","0","0","0","0","0","0","0","0","0","0"
"*041j5*","Keith Mitchell","null","null","24","grrr","Active","0","0","89%","-0.8%","0","0","0","0","0","0","0","0","0","0"
"*049tv*","Kurt Kitayama","null","null","90","grrr","Reserve","0","0","88%","+6.6%","0","0","0","0","0","0","0","0","0","0"
"*032pw*","Adam Svensson","null","null","11","MG","Reserve","0","0","88%","+2.4%","0","0","0","0","0","0","0","0","0","0"
"*02k0v*","Brooks Koepka","null","null","315","grrr","Reserve","0","0","88%","-5.3%","0","0","0","0","0","0","0","0","0","0"
"*060yj*","Ben Griffin","null","null","9","MG","Reserve","0","0","88%","-0.9%","0","0","0","0","0","0","0","0","0","0"
"*041lc*","Taylor Moore","null","null","58","NT 4","Reserve","0","0","87%","+5.5%","0","0","0","0","0","0","0","0","0","0"
"*033hc*","Mark Hubbard","null","null","6","txms","Reserve","0","0","86%","-0.5%","0","0","0","0","0","0","0","0","0","0"
"*054yw*","Taylor Montgomery","null","null","28","[AW]","Reserve","0","0","86%","-0.1%","0","0","0","0","0","0","0","0","0","0"
"*01pop*","Lucas Glover","null","null","52","NT 8","Active","0","0","85%","+4.2%","0","0","0","0","0","0","0","0","0","0"
"*04dx6*","Sepp Straka","null","null","136","NT 4","Reserve","0","0","85%","+5.1%","0","0","0","0","0","0","0","0","0","0"
"*04on9*","Nicolai Hojgaard","null","null","120","txms","Reserve","0","0","84%","+3.7%","0","0","0","0","0","0","0","0","0","0"
"*03pa9*","Adam Schenk","null","null","23","MG","Reserve","0","0","84%","+7.8%","0","0","0","0","0","0","0","0","0","0"
"*03mmu*","Jake Knapp","null","null","74","u_c","Active","0","0","83%","+3.4%","0","0","0","0","0","0","0","0","0","0"
"*03uzn*","Sam Ryder","null","null","20","NT 8","Reserve","0","0","81%","-1.8%","0","0","0","0","0","0","0","0","0","0"
"*03lkb*","Cameron Smith","null","null","291","919","Reserve","0","0","81%","-7.2%","0","0","0","0","0","0","0","0","0","0"
"*042bw*","Thomas Detry","null","null","34","[AW]","Reserve","0","0","80%","+5.3%","0","0","0","0","0","0","0","0","0","0"
"*01ra6*","Justin Rose","null","null","144","919","Reserve","0","0","79%","+0.5%","0","0","0","0","0","0","0","0","0","0"
"*03d9y*","Maverick McNealy","null","null","65","txms","Reserve","0","0","78%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*05abl*","Davis Thompson","null","null","15","txms","Reserve","0","0","74%","-3.5%","0","0","0","0","0","0","0","0","0","0"
"*01pyk*","Billy Horschel","null","null","131","grrr","Reserve","0","0","72%","-2.6%","0","0","0","0","0","0","0","0","0","0"
"*03d9w*","Kyoung-Hoon Lee","null","null","27","MG","Reserve","0","0","71%","+1.8%","0","0","0","0","0","0","0","0","0","0"
"*01uql*","Andrew Putnam","null","null","56","919","Reserve","0","0","71%","+6.1%","0","0","0","0","0","0","0","0","0","0"
"*02mut*","Patrick Rodgers","null","null","101","[AW]","Reserve","0","0","70%","+4.2%","0","0","0","0","0","0","0","0","0","0"
"*04mkw*","Doug Ghim","null","null","33","MG","Reserve","0","0","69%","-1.4%","0","0","0","0","0","0","0","0","0","0"
"*041jw*","Aaron Rai","null","null","99","[AW]","Reserve","0","0","69%","+0.9%","0","0","0","0","0","0","0","0","0","0"
"*01v9t*","Tyrrell Hatton","null","null","216","919","Reserve","0","0","68%","-9%","0","0","0","0","0","0","0","0","0","0"
"*039es*","Peter Malnati","null","null","21","NT 8","Reserve","0","0","68%","+9.6%","0","0","0","0","0","0","0","0","0","0"
"*03pjm*","Bryson DeChambeau","null","null","283","txms","Reserve","0","0","67%","-6%","0","0","0","0","0","0","0","0","0","0"
"*03pjt*","Seamus Power","null","null","111","[AW]","Reserve","0","0","65%","+5.3%","0","0","0","0","0","0","0","0","0","0"
"*03fu2*","Taylor Pendrith","null","null","88","u_c","Active","0","0","64%","+0.6%","0","0","0","0","0","0","0","0","0","0"
"*061qc*","Nick Dunlap","null","null","118","NT 8","Active","0","0","60%","+4.1%","0","0","0","0","0","0","0","0","0","0"
"*01q3f*","Dustin Johnson","null","null","375","txms","Reserve","0","0","60%","-21.5%","0","0","0","0","0","0","0","0","0","0"
"*04dov*","Joaquin Niemann","null","null","300","u_c","Reserve","0","0","58%","-16.9%","0","0","0","0","0","0","0","0","0","0"
"*050qx*","Seonghyeon Kim","null","null","41","919","Active","0","0","53%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*01qrr*","Ryan Moore","null","null","32","NT 8","Reserve","0","0","53%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*041km*","Justin Suh","null","null","76","NT 4","Reserve","0","0","52%","-2.2%","0","0","0","0","0","0","0","0","0","0"
"*04syb*","Carl Yuan","null","null","37","[AW]","Reserve","0","0","52%","-2.1%","0","0","0","0","0","0","0","0","0","0"
"*04dor*","Cameron Champ","null","null","62","NT 8","Reserve","0","0","49%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*02too*","Chesson Hadley","null","null","51","MG","Reserve","0","0","48%","-1.9%","0","0","0","0","0","0","0","0","0","0"
"*03ftx*","Joel Dahmen","null","null","108","u_c","Active","0","0","48%","-1.4%","0","0","0","0","0","0","0","0","0","0"
"*01rud*","Camilo Villegas","null","null","94","NT 4","Reserve","0","0","45%","-2.4%","0","0","0","0","0","0","0","0","0","0"
"*04lyn*","Andrew Novak","null","null","46","txms","Reserve","0","0","44%","-3%","0","0","0","0","0","0","0","0","0","0"
"*03d9m*","Daniel Berger","null","null","204","919","Active","0","0","44%","+0.6%","0","0","0","0","0","0","0","0","0","0"
"*01qba*","Matt Kuchar","null","null","121","[AW]","Reserve","0","0","43%","-3%","0","0","0","0","0","0","0","0","0","0"
"*03ppj*","Nick Hardy","null","null","13","NT 8","Reserve","0","0","42%","-0.3%","0","0","0","0","0","0","0","0","0","0"
"*059a2*","Chandler Phillips","null","null","126","[AW]","Reserve","0","0","41%","+9.2%","0","0","0","0","0","0","0","0","0","0"
"*05xp0*","Ryo Hisatsune","null","null","122","grrr","Active","0","0","41%","-1.6%","0","0","0","0","0","0","0","0","0","0"
"*033hd*","Justin Lower","null","null","19","919","Reserve","0","0","40%","-0.5%","0","0","0","0","0","0","0","0","0","0"
"*0510w*","Brandon Wu","null","null","78","NT 4","Reserve","0","0","37%","-0.6%","0","0","0","0","0","0","0","0","0","0"
"*03o78*","Ryan Fox","null","null","160","txms","Reserve","0","0","36%","+1.1%","0","0","0","0","0","0","0","0","0","0"
"*03oay*","Nate Lashley","null","null","44","MG","Reserve","0","0","36%","+2.9%","0","0","0","0","0","0","0","0","0","0"
"*04mho*","Robert Macintyre","null","null","158","NT 4","Reserve","0","0","35%","-0.9%","0","0","0","0","0","0","0","0","0","0"
"*030zo*","Michael Kim","null","null","82","MG","Reserve","0","0","33%","-1.5%","0","0","0","0","0","0","0","0","0","0"
"*04ymp*","Vincent Whaley","null","null","67","NT 8","Reserve","0","0","30%","-1.1%","0","0","0","0","0","0","0","0","0","0"
