ID,Player,Team,Position,RkOv,Status,Roster Status,FPts,FP/G,Ros,+/-,Par,Bir,Eag,Bog,DBo,Alb,H1,TP,Oth,Plc
*03fu2*,Taylor Pendrith,null,null,65,u_c,Reserve,554,61.56,94%,23.80%,338,135,0,42,7,0,0,9,0,327
*042bw*,Thomas Detry,null,null,51,[AW],Active,575.5,63.94,94%,8.40%,319,142,1,72,5,0,0,9,1,384
*028im*,Thorbjorn Olesen,null,null,278,NT 4,Active,73.5,73.5,49%,39.30%,49,15,1,4,2,0,0,1,1,46
*029fh*,Tom Hoge,null,null,15,MG,Active,716,71.6,88%,-3.30%,382,164,6,64,13,0,0,10,1,354
*050qw*,Tom Kim,null,null,90,txms,Reserve,469,78.17,99%,-1.40%,238,105,6,44,3,0,0,6,0,186
*039u6*,Tommy Fleetwood,null,null,200,u_c,Reserve,216,72,99%,-0.90%,125,49,1,23,0,0,0,3,0,88
*01pj5*,Tony Finau,null,null,75,NT 8,Reserve,514,85.67,100%,0%,242,112,7,48,5,0,0,6,0,148
*03o6j*,Tyler Duncan,null,null,55,919,Reserve,571,57.1,33%,11.70%,382,131,2,60,1,0,0,10,0,477
*04xua*,Viktor Hovland,null,null,198,MG,Reserve,225.5,75.17,100%,-0.50%,124,50,2,21,0,0,0,3,1,99
*064q4*,Vincent Norrman,null,null,169,u_c,Reserve,275,39.29,46%,3.80%,235,61,1,59,4,0,0,7,0,443
*04ymp*,Vincent Whaley,null,null,21,NT 8,Reserve,671.5,61.05,51%,9.30%,417,161,2,60,7,0,0,11,1,480
*041he*,Wesley Bryan,null,null,177,NT 8,Reserve,262.5,65.62,0%,0%,156,62,2,29,2,0,0,4,1,212
*03mop*,Will Zalatoris,null,null,155,grrr,Reserve,300.5,75.12,98%,0.90%,162,60,2,27,1,0,1,4,0,131
*04ece*,Wyndham Clark,null,null,103,MG,Reserve,434,86.8,100%,-0.50%,183,78,9,33,3,0,0,5,0,162
*0401u*,Xander Schauffele,null,null,76,[AW],Reserve,510.5,85.08,100%,0%,268,107,4,31,3,0,0,6,1,118
