ID,player_name,player_id
*05lo8*,Ludvig Aberg,05lo8
*03nur*,Sam Burns,03nur
*027es*,Patrick Cantlay,027es
*04ece*,Wyndham Clark,04ece
*030zn*,Max Homa,030zn
*025ci*,Hideki Matsuyama,025ci
*042vf*,Collin Morikawa,042vf
*0401u*,Xander Schauffele,0401u
*03cp4*,Scottie Scheffler,03cp4
*04ant*,Sahith Theegala,04ant
*01rp9*,Justin Thomas,01rp9
*0510x*,Cameron Young,0510x
*05osh*,Eric Cole,05osh
*01uqg*,Russell Henley,01uqg
*02yk2*,Si Woo Kim,02yk2
*04z4l*,Akshay Bhatia,04z4l
*01pb5*,Jason Day,01pb5
*01pj5*,Tony Finau,01pj5
*01z7y*,Brian Harman,01z7y
*01qo2*,Rory McIlroy,01qo2
*041js*,J.T. Poston,041js
*01uh8*,Jordan Spieth,01uh8
*01szi*,Byeong Hun An,01szi
*039u6*,Tommy Fleetwood,039u6
*04xua*,Viktor Hovland,04xua
*0452x*,Sungjae Im,0452x
*01qim*,Shane Lowry,01qim
*032pt*,Corey Conners,032pt
*031vh*,Matthew Fitzpatrick,031vh
*050qw*,Tom Kim,050qw
*01q98*,Chris Kirk,01q98
*04bz5*,Min Woo Lee,04bz5
*03oet*,Erik Van Rooyen,03oet
*03mop*,Will Zalatoris,03mop
*02h6r*,Harris English,02h6r
*01rol*,Nick Taylor,01rol
*029fh*,Tom Hoge,029fh
*03ppp*,Denny McCarthy,03ppp
*02ytc*,Stephan Jaeger,02ytc
*01whh*,Adam Hadwin,01whh
*01qwg*,Alex Noren,01qwg
*049uf*,Cameron Davis,049uf
*02i28*,Emiliano Grillo,02i28
*01qha*,Luke List,01qha
*03yr5*,Christiaan Bezuidenhout,03yr5
*01oz6*,Keegan Bradley,01oz6
*02oyu*,Mackenzie Hughes,02oyu
*01pk8*,Rickie Fowler,01pk8
*027ev*,Beau Hossler,027ev
*03lmu*,Jon Rahm,03lmu
*01rq8*,Brendon Todd,01rq8
*0510p*,Austin Eckroat,0510p
*041jm*,Matthieu Pavon,041jm
*01re1*,Adam Scott,01re1
*041j5*,Keith Mitchell,041j5
*032pw*,Adam Svensson,032pw
*049tv*,Kurt Kitayama,049tv
*02k0v*,Brooks Koepka,02k0v
*060yj*,Ben Griffin,060yj
*041lc*,Taylor Moore,041lc
*033hc*,Mark Hubbard,033hc
*054yw*,Taylor Montgomery,054yw
*04dx6*,Sepp Straka,04dx6
*01pop*,Lucas Glover,01pop
*04on9*,Nicolai Hojgaard,04on9
*03pa9*,Adam Schenk,03pa9
*03mmu*,Jake Knapp,03mmu
*03uzn*,Sam Ryder,03uzn
*03lkb*,Cameron Smith,03lkb
*042bw*,Thomas Detry,042bw
*03d9y*,Maverick McNealy,03d9y
*01ra6*,Justin Rose,01ra6
*05abl*,Davis Thompson,05abl
*01uql*,Andrew Putnam,01uql
*01pyk*,Billy Horschel,01pyk
*03d9w*,Kyoung-Hoon Lee,03d9w
*02mut*,Patrick Rodgers,02mut
*04mkw*,Doug Ghim,04mkw
*041jw*,Aaron Rai,041jw
*039es*,Peter Malnati,039es
*01v9t*,Tyrrell Hatton,01v9t
*03pjm*,Bryson DeChambeau,03pjm
*03pjt*,Seamus Power,03pjt
*03fu2*,Taylor Pendrith,03fu2
*061qc*,Nick Dunlap,061qc
*01q3f*,Dustin Johnson,01q3f
*04dov*,Joaquin Niemann,04dov
*04uqe*,Lee Hodges,04uqe
*050qx*,Seonghyeon Kim,050qx
*01qrr*,Ryan Moore,01qrr
*041km*,Justin Suh,041km
*04syb*,Carl Yuan,04syb
*04dor*,Cameron Champ,04dor
*02too*,Chesson Hadley,02too
*03ftx*,Joel Dahmen,03ftx
*01rud*,Camilo Villegas,01rud
*04lyn*,Andrew Novak,04lyn
*03d9m*,Daniel Berger,03d9m
*01qba*,Matt Kuchar,01qba
*03ppj*,Nick Hardy,03ppj
*059a2*,Chandler Phillips,059a2
*05xp0*,Ryo Hisatsune,05xp0
*033hd*,Justin Lower,033hd
*05olq*,Carson Young,05olq
*03scq*,J.J. Spaun,03scq
*01s08*,Gary Woodland,01s08
*01s0c*,Tiger Woods,01s0c
*0510w*,Brandon Wu,0510w
*03o78*,Ryan Fox,03o78
*03oay*,Nate Lashley,03oay
*04mho*,Robert Macintyre,04mho
*030zo*,Michael Kim,030zo
*030zq*,Grayson Murray,030zq
*04dox*,Alex Smalley,04dox
*027cy*,Patrick Reed,027cy
*04pig*,Kevin Yu,04pig
*04ymp*,Vincent Whaley,04ymp
*01rgl*,Webb Simpson,01rgl
*05a2g*,Alejandro Tosti,05a2g
*051lw*,Dylan Wu,051lw
*0529f*,Matthias Schmid,0529f
*02toq*,Matthew NeSmith,02toq
*03ppr*,Davis Riley,03ppr
*04lre*,Greyson Sigg,04lre
*01qpg*,Troy Merritt,01qpg
*028im*,Thorbjorn Olesen,028im
*01pxw*,Charley Hoffman,01pxw
*064q4*,Vincent Norrman,064q4
*04zhs*,Garrick Higgo,04zhs
*02719*,Lanto Griffin,2719
*01rjx*,Scott Stallings,01rjx
*03o6j*,Tyler Duncan,03o6j
*04xe2*,Nicolas Echavarria,04xe2
*041kw*,Matt Wallace,041kw
*01qzh*,C.T. Pan,01qzh
*0603u*,Samuel Stevens,0603u
*04530*,Victor Perez,4530
*03o9b*,Chan Kim,03o9b
