datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Garnett, Brice",Brice Garnett,150,33092800,5300,23.626,8:46 AM,1,39.6,1,0,40.6,-0.16,100,4.166666667,
"An, Byeong Hun",Byeong Hun An,150,33092714,8100,28.753,12:45 PM,0,53.8,3.3,0,57,0.23,100,4.166666667,
"Pan, C.T.",C.T. Pan,150,33092776,5600,25.082,9:19 AM,1,42.3,1.3,0,43.6,-0.05,100,4.166666667,
"Tarren, Callum",Callum Tarren,150,33092830,5000,18.88,2:35 PM,0,31.2,0.3,0,31.5,-0.64,100,4.166666667,
"Davis, Cameron",Cameron Davis,150,33092735,7000,26.918,1:07 PM,0,47.9,2,0,49.9,0.02,100,4.166666667,
"Young, Cameron",Cameron Young,150,33092704,9000,28.752,2:02 PM,0,54,3.3,0,57.3,0.01,100,4.166666667,
"Villegas, Camilo",Camilo Villegas,150,33092828,5000,20.414,8:13 AM,1,33.6,0.5,0,34.1,-0.48,100,4.166666667,
"Yuan, Carl",Carl Yuan,150,33092816,5100,20.86,7:51 AM,1,34.3,0.5,0,34.8,-0.46,100,4.166666667,
"Young, Carson",Carson Young,150,33092786,5500,26.237,7:51 AM,1,45.8,1.7,0,47.5,0.24,100,4.166666667,
"Ramey, Chad",Chad Ramey,150,33092803,5300,24.057,8:24 AM,1,40.2,1,0,41.2,-0.12,100,4.166666667,
"Kim, Chan",Chan Kim,150,33092768,5800,24.995,2:46 PM,0,43.2,1.3,0,44.5,-0.04,100,4.166666667,
"Hoffman, Charley",Charley Hoffman,150,33092780,5600,22.814,2:46 PM,0,37.8,0.8,0,38.6,-0.34,100,4.166666667,
"Hadley, Chesson",Chesson Hadley,150,33092774,5700,24.54,7:40 AM,1,41.8,1.2,0,43,-0.1,100,4.166666667,
"Reavie, Chez",Chez Reavie,150,33092827,5000,21.859,8:35 AM,1,35.9,0.6,0,36.6,-0.33,100,4.166666667,
"Kirk, Chris",Chris Kirk,150,33092724,7600,28.062,2:13 PM,0,52,2.9,0,54.9,0.2,100,4.166666667,
"Bezuidenhout, Christiaan",Christiaan Bezuidenhout,150,33092727,7400,27.434,8:02 AM,1,50.2,2.6,0,52.8,0.12,100,4.166666667,
"Morikawa, Collin",Collin Morikawa,150,33092700,9400,30.56,1:51 PM,0,63,5.7,0,68.7,0.69,100,4.166666667,
"Conners, Corey",Corey Conners,150,33092711,8300,29.023,1:51 PM,0,56.9,4,0,60.9,0.44,100,4.166666667,
"Lipsky, David",David Lipsky,150,33092829,5000,22.702,9:30 AM,1,38,0.8,0,38.8,-0.2,100,4.166666667,
"Skinns, David",David Skinns,150,33092810,5200,20.841,2:46 PM,0,33.9,0.5,0,34.4,-0.51,100,4.166666667,
"Riley, Davis",Davis Riley,150,33092819,5100,21.142,1:51 PM,0,34.5,0.5,0,35,-0.45,100,4.166666667,
"Thompson, Davis",Davis Thompson,150,33092757,6100,25.871,2:24 PM,0,45,1.6,0,46.6,0.03,100,4.166666667,
"McCarthy, Denny",Denny McCarthy,150,33092737,6900,27.177,12:56 PM,0,50,2.4,0,52.4,0.22,100,4.166666667,
"Ghim, Doug",Doug Ghim,150,33092740,6800,28.22,12:45 PM,0,52.6,2.9,0,55.5,0.45,100,4.166666667,
"Wu, Dylan",Dylan Wu,150,33092814,5100,23.441,1:07 PM,0,39.3,0.9,0,40.3,-0.13,100,4.166666667,
"Grillo, Emiliano",Emiliano Grillo,150,33092728,7400,28.28,8:57 AM,1,54.5,3.2,0,57.8,0.46,100,4.166666667,
"Cole, Eric",Eric Cole,150,33092722,7700,28.081,2:35 PM,0,52.2,2.9,0,55.1,0.19,100,4.166666667,
"Van Rooyen, Erik",Erik Van Rooyen,150,33092730,7300,27.519,9:08 AM,1,50.1,2.4,0,52.4,0.12,100,4.166666667,
"Molinari, Francesco",Francesco Molinari,150,33092820,5100,23.603,1:18 PM,0,39.1,0.9,0,40,-0.15,100,4.166666667,
"Higgo, Garrick",Garrick Higgo,150,33092777,5600,22.944,2:24 PM,0,38.1,0.8,0,38.9,-0.33,100,4.166666667,
"Woodland, Gary",Gary Woodland,150,33092791,5400,23.185,2:02 PM,0,38.5,0.9,0,39.4,-0.25,100,4.166666667,
"Murray, Grayson",Grayson Murray,150,33092818,5100,23.935,1:18 PM,0,39.8,1,0,40.8,-0.1,100,4.166666667,
"Sigg, Greyson",Greyson Sigg,150,33092783,5500,26.127,9:30 AM,1,45.6,1.8,0,47.4,0.24,100,4.166666667,
"English, Harris",Harris English,150,33092719,7800,28.221,1:40 PM,0,52.7,2.9,0,55.6,0.2,100,4.166666667,
"Hall, Harry",Harry Hall,150,33092823,5000,22.168,2:35 PM,0,37.1,0.7,0,37.8,-0.26,100,4.166666667,
"Buckley, Hayden",Hayden Buckley,150,33092824,5000,22.234,12:45 PM,0,36.6,0.7,0,37.3,-0.29,100,4.166666667,
"Matsuyama, Hideki",Hideki Matsuyama,150,33092696,9800,28.64,1:29 PM,0,55.1,3.5,0,58.5,-0.1,100,4.166666667,
"Spaun, J.J.",J.J. Spaun,150,33092806,5200,24.801,1:51 PM,0,42.8,1.3,0,44.2,0.09,100,4.166666667,
"Poston, J.T.",J.T. Poston,150,33092721,7700,27.614,1:40 PM,0,51.4,2.7,0,54.1,0.13,100,4.166666667,
"Knapp, Jake",Jake Knapp,150,33092734,7100,24.949,1:18 PM,0,41.9,1.3,0,43.1,-0.41,100,4.166666667,
"Day, Jason",Jason Day,150,33092705,8900,28.678,8:13 AM,1,53.8,3.2,0,57,0.01,100,4.166666667,
"Stanger, Jimmy",Jimmy Stanger,150,33092789,5500,23.896,2:46 PM,0,40.2,1,0,41.2,-0.16,100,4.166666667,
"Dahmen, Joel",Joel Dahmen,150,33092817,5100,25.084,8:02 AM,1,43.2,1.4,0,44.6,0.15,100,4.166666667,
"Spieth, Jordan",Jordan Spieth,150,33092699,9500,29.033,8:35 AM,1,56.2,3.8,0,60,0.07,100,4.166666667,
"Bramlett, Joseph",Joseph Bramlett,150,33092787,5500,22.627,8:02 AM,1,38.2,0.8,0,39,-0.3,100,4.166666667,
"Lower, Justin",Justin Lower,150,33092775,5700,25.102,9:30 AM,1,43.5,1.5,0,45,0.02,100,4.166666667,
"Rose, Justin",Justin Rose,150,33092736,7000,25.879,8:57 AM,1,44.7,1.6,0,46.3,-0.2,100,4.166666667,
"Suh, Justin",Justin Suh,150,33092770,5700,23.644,9:30 AM,1,40.2,1,0,41.2,-0.21,100,4.166666667,
"Thomas, Justin",Justin Thomas,150,33092692,10600,29.911,1:40 PM,0,58.4,4.4,0,62.8,-0.02,100,4.166666667,
"Bradley, Keegan",Keegan Bradley,150,33092718,7900,27.715,9:19 AM,1,50.3,2.5,0,52.8,-0.01,100,4.166666667,
"Mitchell, Keith",Keith Mitchell,150,33092726,7500,27.228,1:07 PM,0,49.7,2.4,0,52.1,0.04,100,4.166666667,
"Streelman, Kevin",Kevin Streelman,150,33092822,5000,23.156,9:19 AM,1,38.8,0.9,0,39.7,-0.14,100,4.166666667,
"Yu, Kevin",Kevin Yu,150,33092759,6100,25.702,12:45 PM,0,44.5,1.6,0,46.1,-0.01,100,4.166666667,
"Kitayama, Kurt",Kurt Kitayama,150,33092744,6600,26.28,8:24 AM,1,45.9,1.7,0,47.6,-0.03,100,4.166666667,
"Lee, Kyounghoon",Kyoung-Hoon Lee,150,33092766,5800,25.212,9:19 AM,1,43.1,1.4,0,44.4,-0.04,100,4.166666667,
"Hodges, Lee",Lee Hodges,150,33092794,5400,25.949,8:13 AM,1,45.2,1.6,0,46.9,0.22,100,4.166666667,
"Glover, Lucas",Lucas Glover,150,33092752,6300,28.141,9:08 AM,1,52.1,2.8,0,54.9,0.54,100,4.166666667,
"Aberg, Ludvig",Ludvig Aberg,150,33092701,9300,29.112,8:46 AM,1,55.8,3.7,0,59.5,0.08,100,4.166666667,
"List, Luke",Luke List,150,33092742,6700,25.847,2:02 PM,0,45.2,1.6,0,46.9,-0.1,100,4.166666667,
"Hughes, Mackenzie",Mackenzie Hughes,150,33092773,5700,24.721,2:13 PM,0,41.9,1.2,0,43.2,-0.09,100,4.166666667,
"Hubbard, Mark",Mark Hubbard,150,33092767,5800,25.528,1:07 PM,0,45,1.6,0,46.6,0.1,100,4.166666667,
"Laird, Martin",Martin Laird,150,33092792,5400,25.346,9:30 AM,1,43.8,1.5,0,45.2,0.11,100,4.166666667,
"Fitzpatrick, Matthew",Matthew Fitzpatrick,150,33092712,8200,28.145,1:29 PM,0,52.6,3,0,55.5,0.09,100,4.166666667,
"Kuchar, Matt",Matt Kuchar,150,33092790,5400,25.015,8:13 AM,1,43.2,1.4,0,44.6,0.07,100,4.166666667,
"Wallace, Matt",Matt Wallace,150,33092784,5500,23.789,1:29 PM,0,40.7,1,0,41.7,-0.13,100,4.166666667,
"NeSmith, Matthew",Matthew NeSmith,150,33092821,5100,24.1,12:56 PM,0,40.5,1.1,0,41.6,-0.05,100,4.166666667,
"Pavon, Matthieu",Matthieu Pavon,150,33092741,6700,26.956,1:18 PM,0,48.1,2.1,0,50.2,0.12,100,4.166666667,
"Schmid, Matthias",Matti Schmid,150,33092813,5100,22.673,12:45 PM,0,38.3,0.8,0,39.1,-0.2,100,4.166666667,
"McNealy, Maverick",Maverick McNealy,150,33092753,6300,24.848,2:35 PM,0,42.4,1.3,0,43.7,-0.2,100,4.166666667,
"Homa, Max",Max Homa,150,33092698,9600,28.745,1:29 PM,0,56.9,3.9,0,60.8,0.1,100,4.166666667,
"Kim, Michael",Michael Kim,150,33092795,5400,24.07,7:51 AM,1,40.7,1.1,0,41.8,-0.11,100,4.166666667,
"Lee, Min Woo",Min Woo Lee,150,33092715,8000,27.624,8:02 AM,1,50.7,2.5,0,53.3,-0.01,100,4.166666667,
"Lashley, Nate",Nate Lashley,150,33092801,5300,24.152,9:41 AM,1,41.6,1.2,0,42.8,-0.02,100,4.166666667,
"Dunlap, Nick",Nick Dunlap,150,33092772,5700,21.434,1:18 PM,0,35.4,0.6,0,36,-0.53,100,4.166666667,
"Hardy, Nick",Nick Hardy,150,33092799,5300,23.074,1:29 PM,0,38.7,0.9,0,39.6,-0.22,100,4.166666667,
"Taylor, Nick",Nick Taylor,150,33092738,6900,27.595,8:57 AM,1,50.5,2.5,0,53,0.26,100,4.166666667,
"Hojgaard, Nicolai",Nicolai Hojgaard,150,33092733,7100,26.015,12:56 PM,0,46.1,1.7,0,47.8,-0.13,100,4.166666667,
"Echavarria, Nicolas",Nicolas Echavarria,150,33092793,5400,24.479,1:40 PM,0,41.2,1.2,0,42.4,-0.07,100,4.166666667,
"Cantlay, Patrick",Patrick Cantlay,150,33092693,10300,29.343,8:46 AM,1,61,5.1,0,66,0.27,100,4.166666667,
"Rodgers, Patrick",Patrick Rodgers,150,33092750,6400,26.592,12:45 PM,0,46.5,1.9,0,48.4,0.07,100,4.166666667,
"Malnati, Peter",Peter Malnati,150,33092809,5200,21.793,12:56 PM,0,36.2,0.7,0,36.9,-0.36,100,4.166666667,
"Fowler, Rickie",Rickie Fowler,150,33092729,7300,25.679,1:40 PM,0,45,1.6,0,46.6,-0.25,100,4.166666667,
"Shelton, Robby",Robby Shelton,150,33092815,5100,23.513,9:41 AM,1,39.5,0.9,0,40.4,-0.12,100,4.166666667,
"Macintyre, Robert",Robert Macintyre,150,33092781,5600,23.952,9:41 AM,1,40.5,1.1,0,41.5,-0.17,100,4.166666667,
"McIlroy, Rory",Rory McIlroy,150,33092690,11600,30.157,8:35 AM,1,61.4,5.2,0,66.6,-0.02,100,4.166666667,
"Henley, Russell",Russell Henley,150,33092708,8600,29.258,8:46 AM,1,60.5,5,0,65.4,0.67,100,4.166666667,
"Fox, Ryan",Ryan Fox,150,33092756,6200,23.342,9:19 AM,1,39.3,0.9,0,40.2,-0.39,100,4.166666667,
"Moore, Ryan",Ryan Moore,150,33092825,5000,23.294,7:40 AM,1,39,0.9,0,39.9,-0.13,100,4.166666667,
"Hisatsune, Ryo",Ryo Hisatsune,150,33092755,6200,26.636,9:41 AM,1,47.3,1.9,0,49.2,0.18,100,4.166666667,
"Theegala, Sahith",Sahith Theegala,150,33092707,8700,28.226,2:13 PM,0,52.9,3,0,55.9,-0.01,100,4.166666667,
"Burns, Sam",Sam Burns,150,33092702,9200,29.101,8:24 AM,1,57.2,3.9,0,61.1,0.22,100,4.166666667,
"Ryder, Sam",Sam Ryder,150,33092782,5600,25.151,1:07 PM,0,43.9,1.5,0,45.4,0.07,100,4.166666667,
"Stevens, Samuel",Sam Stevens,150,33092797,5300,23.449,2:46 PM,0,39.5,0.9,0,40.5,-0.17,100,4.166666667,
"Valimaki, Sami",Sami Valimaki,150,33092785,5500,25.061,2:46 PM,0,42.5,1.2,0,43.8,-0.01,100,4.166666667,
"Stallings, Scott",Scott Stallings,150,33092807,5200,22.33,8:57 AM,1,37.3,0.7,0,38,-0.29,100,4.166666667,
"Scheffler, Scottie",Scottie Scheffler,150,33092689,12800,30.31,1:40 PM,0,75.2,10.8,0,86,1,100,4.166666667,
"Power, Seamus",Seamus Power,150,33092769,5800,25.495,1:18 PM,0,44.3,1.6,0,45.9,0.05,100,4.166666667,
"Kim, Seonghyeon",Seonghyeon Kim,150,33092802,5300,22.99,2:24 PM,0,38.5,0.8,0,39.3,-0.24,100,4.166666667,
"Straka, Sepp",Sepp Straka,150,33092745,6500,27.79,8:35 AM,1,49.8,2.4,0,52.2,0.3,100,4.166666667,
"Lowry, Shane",Shane Lowry,150,33092703,9100,29.011,2:02 PM,0,57.3,4,0,61.4,0.27,100,4.166666667,
"Kim, Si Woo",Si Woo Kim,150,33092716,8000,29.869,8:13 AM,1,59.8,4.9,0,64.7,0.77,100,4.166666667,
"Jaeger, Stephan",Stephan Jaeger,150,33092732,7200,27.349,1:07 PM,0,49.9,2.5,0,52.4,0.14,100,4.166666667,
"Stricker, Steve",Steve Stricker,150,33092808,5200,26.423,8:46 AM,1,46.2,1.9,0,48,0.35,100,4.166666667,
"Im, Sungjae",Sungjae Im,150,33092710,8400,28.554,9:08 AM,1,53.9,3.3,0,57.2,0.16,100,4.166666667,
"Montgomery, Taylor",Taylor Montgomery,150,33092761,6000,23.238,7:40 AM,1,39.1,0.9,0,40,-0.35,100,4.166666667,
"Moore, Taylor",Taylor Moore,150,33092764,5900,25.003,8:57 AM,1,43,1.4,0,44.4,-0.06,100,4.166666667,
"Pendrith, Taylor",Taylor Pendrith,150,33092760,6000,24.074,7:40 AM,1,40.2,1,0,41.3,-0.27,100,4.166666667,
"Detry, Thomas",Thomas Detry,150,33092771,5700,23.902,8:02 AM,1,40.2,1,0,41.2,-0.21,100,4.166666667,
"Hoge, Tom",Tom Hoge,150,33092720,7800,28.525,8:13 AM,1,54.1,3.2,0,57.3,0.32,100,4.166666667,
"Kim, Tom",Tom Kim,150,33092713,8100,28.726,8:57 AM,1,54.3,3.3,0,57.6,0.26,100,4.166666667,
"Fleetwood, Tommy",Tommy Fleetwood,150,33092706,8800,29.019,8:24 AM,1,56.1,3.8,0,59.9,0.24,100,4.166666667,
"Finau, Tony",Tony Finau,150,33092709,8500,28.506,2:02 PM,0,54.6,3.5,0,58.1,0.19,100,4.166666667,
"Merritt, Troy",Troy Merritt,150,33092811,5200,25.093,7:40 AM,1,42.9,1.3,0,44.2,0.09,100,4.166666667,
"Duncan, Tyler",Tyler Duncan,150,33092804,5300,25.78,2:35 PM,0,44.9,1.6,0,46.5,0.22,100,4.166666667,
"Alexander, Tyson",Tyson Alexander,150,33092831,5000,19.057,9:30 AM,1,31.5,0.3,0,31.8,-0.62,100,4.166666667,
"Hovland, Viktor",Viktor Hovland,150,33092694,10100,30.206,8:35 AM,1,61.6,5.2,0,66.8,0.38,100,4.166666667,
"Norrman, Vincent",Vincent Norrman,150,33092779,5600,24.516,8:35 AM,1,41.8,1.2,0,43,-0.08,100,4.166666667,
"Simpson, Webb",Webb Simpson,150,33092763,5900,26.114,9:08 AM,1,45.1,1.6,0,46.7,0.08,100,4.166666667,
"Zalatoris, Will",Will Zalatoris,150,33092695,9900,29.715,2:02 PM,0,56.9,4,0,60.9,0.02,100,4.166666667,
"Clark, Wyndham",Wyndham Clark,150,33092697,9700,27.91,1:51 PM,0,51.7,2.8,0,54.5,-0.32,100,4.166666667,
"Schauffele, Xander",Xander Schauffele,150,33092691,11300,29.996,8:24 AM,1,63.9,6,0,69.9,0.28,100,4.166666667,
"Blair, Zac",Zac Blair,150,33092826,5000,24.99,7:40 AM,1,42.4,1.3,0,43.7,0.11,100,4.166666667,
