datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Baddeley, Aaron",Aaron Baddeley,150,33092805,5200,23.705,2:24 PM,0,39.9,1,0,40.9,-0.12,100,4.166666667,
"Rai, Aaron",Aaron Rai,150,33092748,6400,28.355,7:51 AM,1,55.4,3.5,0,58.9,0.79,100,4.166666667,
"Hadwin, Adam",Adam Hadwin,150,33092725,7500,28.896,9:19 AM,1,54.7,3.5,0,58.1,0.46,100,4.166666667,
"Schenk, Adam",Adam Schenk,150,33092765,5900,25.492,8:24 AM,1,44.7,1.6,0,46.3,0.05,100,4.166666667,
"Scott, Adam",Adam Scott,150,33092723,7600,28.384,8:46 AM,1,51.7,2.8,0,54.5,0.18,100,4.166666667,
"Svensson, Adam",Adam Svensson,150,33092758,6100,25.538,1:29 PM,0,44.6,1.5,0,46.1,-0.01,100,4.166666667,
"Bhatia, Akshay",Akshay Bhatia,150,33092754,6200,26.562,2:13 PM,0,47.1,1.9,0,48.9,0.16,100,4.166666667,
"Noren, Alex",Alex Noren,150,33092731,7200,27.525,8:02 AM,1,50.7,2.6,0,53.4,0.21,100,4.166666667,
"Smalley, Alex",Alex Smalley,150,33092796,5400,24.774,12:56 PM,0,42,1.3,0,43.2,-0.02,100,4.166666667,
"Novak, Andrew",Andrew Novak,150,33092749,6400,24.259,2:24 PM,0,41.2,1.1,0,42.3,-0.3,100,4.166666667,
"Putnam, Andrew",Andrew Putnam,150,33092751,6300,27.463,2:13 PM,0,52,2.9,0,54.9,0.54,100,4.166666667,
"Eckroat, Austin",Austin Eckroat,150,33092746,6500,27.41,2:13 PM,0,50,2.4,0,52.4,0.32,100,4.166666667,
"Hossler, Beau",Beau Hossler,150,33092739,6800,27.28,12:56 PM,0,49.9,2.4,0,52.3,0.24,100,4.166666667,
"Griffin, Ben",Ben Griffin,150,33092762,6000,25.118,2:24 PM,0,43,1.4,0,44.4,-0.09,100,4.166666667,
"Kohles, Ben",Ben Kohles,150,33092798,5300,24.987,9:41 AM,1,43.9,1.5,0,45.4,0.15,100,4.166666667,
"Martin, Ben",Ben Martin,150,33092812,5200,23.925,2:35 PM,0,40.3,1,0,41.4,-0.09,100,4.166666667,
"Silverman, Ben",Ben Silverman,150,33092788,5500,25.013,9:41 AM,1,44.1,1.5,0,45.5,0.11,100,4.166666667,
"Taylor, Ben",Ben Taylor,150,33092832,5000,14.971,7:51 AM,1,25.4,0.1,0,25.5,-1,100,4.166666667,
"Horschel, Billy",Billy Horschel,150,33092743,6600,26.05,9:08 AM,1,45.7,1.7,0,47.4,-0.04,100,4.166666667,
"Wu, Brandon",Brandon Wu,150,33092778,5600,24.522,7:51 AM,1,41.6,1.2,0,42.8,-0.09,100,4.166666667,
"Todd, Brendon",Brendon Todd,150,33092747,6500,27.998,9:08 AM,1,52.6,3,0,55.6,0.54,100,4.166666667,
"Harman, Brian",Brian Harman,150,33092717,7900,28.274,1:51 PM,0,52.2,3,0,55.2,0.15,100,4.166666667,
