"ID","Player","Team","Position","RkOv","Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*01rlm*","Kevin Streelman","null","null","155","FA","0","0","6%","0%","0","0","0","0","0","0","0","0","0","0"
"*01p6j*","Stewart Cink","null","null","133","FA","0","0","6%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o81*","Lucas Herbert","null","null","187","FA","0","0","6%","-1.2%","0","0","0","0","0","0","0","0","0","0"
"*01qc6*","Martin Laird","null","null","66","FA","0","0","6%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqc*","Tyson Alexander","null","null","63","FA","0","0","5%","+0.9%","0","0","0","0","0","0","0","0","0","0"
"*03rlp*","Ben Taylor","null","null","125","FA","0","0","5%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*02xgf*","David Lipsky","null","null","89","FA","0","0","5%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rtx*","Jhonattan Vegas","null","null","171","FA","0","0","5%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*01tf1*","Bud Cauley","null","null","207","FA","0","0","5%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*050au*","Rasmus Hojgaard","null","null","331","FA","0","0","5%","+0.3%","0","0","0","0","0","0","0","0","0","0"
"*05ri2*","Sam Bennett","null","null","261","FA","0","0","4%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*03d1s*","Talor Gooch","null","null","1357","FA","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0"
"*04czn*","Austin Smotherman","null","null","149","FA","0","0","4%","-0.5%","0","0","0","0","0","0","0","0","0","0"
"*041l0*","Aaron Wise","null","null","3499","FA","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0"
"*02y9e*","David Lingmerth","null","null","219","FA","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rw6*","Bubba Watson","null","null","360","FA","0","0","4%","-3.2%","0","0","0","0","0","0","0","0","0","0"
"*041ib*","Kramer Hickok","null","null","183","FA","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ryr*","Danny Willett","null","null","307","FA","0","0","3%","-1.3%","0","0","0","0","0","0","0","0","0","0"
"*04mmu*","Norman Xiong","null","null","196","FA","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0"
